Line,Date,Direction,Score
8,20210909,0,83.02
61,20210908,0,83.11726236197792
89,20210909,0,83.14406072483241
47,20210907,0,83.28971767958502
8,20210915,0,83.78
56,20210910,0,83.78825438491826
56,20210909,0,83.86595828367103
89,20210909,1,83.95477819490486
37,20210906,1,84.02855243509748
61,20210907,0,84.04525903971548
89,20210907,0,84.22595496716639
89,20210908,0,84.38822594619894
34,20210908,1,84.60228557651935
56,20210908,0,84.90010011188977
29,20210917,1,84.9045152021138
61,20210910,1,84.96988231140402
34,20210907,1,85.46548844050291
8,20210916,0,85.53
59,20210913,0,85.97
59,20210910,0,86.03
89,20210907,1,86.09266042224459
59,20210909,0,86.14
61,20210907,1,86.23597102289192
61,20210908,1,86.30698331788692
29,20210914,1,86.31943176153497
63,20210914,1,86.40981175655386
61,20210916,1,86.44399329053155
59,20210908,0,86.45
1,20210917,0,86.5712674494436
1,20210910,1,86.67229930527418
61,20210909,1,86.67264590542099
34,20210917,0,86.7500472843281
1,20210916,1,86.84004450048023
20,20210908,1,86.88
20,20210908,0,86.88
59,20210916,0,87.03
89,20210908,1,87.03838597856742
61,20210916,0,87.10136139465536
29,20210910,0,87.12485377236425
1,20210917,1,87.13129735173443
34,20210913,1,87.19862346798986
34,20210910,1,87.24636361455426
59,20210914,0,87.35
59,20210915,0,87.66
1,20210914,1,87.83043247698603
8,20210908,0,87.85
63,20210907,1,87.85106179583475
20,20210915,1,88.06
20,20210915,0,88.06
29,20210914,0,88.12638530529888
87,20210910,1,88.1538579653989
34,20210916,1,88.20196189905187
8,20210916,1,88.26
63,20210909,1,88.29812439866431
89,20210913,1,88.3534603902166
1,20210913,0,88.37561238487326
63,20210917,1,88.81782031074083
63,20210915,1,88.83825680846276
34,20210914,1,88.88780650282096
1,20210915,0,88.93638616559949
89,20210915,1,89.05031979049481
34,20210909,1,89.12701862892102
87,20210914,0,89.18880102794462
29,20210906,1,89.2543860390555
8,20210908,1,89.29
1,20210907,1,89.30202069311821
20,20210917,0,89.39
20,20210917,1,89.39
34,20210915,1,89.40415119004403
8,20210907,1,89.48
1,20210908,1,89.48831706573475
8,20210913,1,89.6
8,20210909,1,89.69
1,20210910,0,89.69282119688657
20,20210907,0,89.77
20,20210907,1,89.77
63,20210910,1,89.80487723400701
87,20210909,1,89.85337228211083
8,20210915,1,89.9
8,20210914,1,89.91
61,20210914,1,89.95950848773994
87,20210916,1,90.036559078784
87,20210914,1,90.15597093866756
8,20210910,0,90.27
87,20210917,1,90.2879343163009
87,20210913,1,90.30519775002152
29,20210915,0,90.30908592132158
87,20210907,1,90.33775279971849
1,20210906,1,90.39346962544592
8,20210910,1,90.42
20,20210913,0,90.57
20,20210913,1,90.57
1,20210908,0,90.79477011179546
29,20210910,1,90.8884675771238
20,20210909,0,90.92
20,20210909,1,90.92
20,20210910,0,90.93
20,20210910,1,90.93
87,20210908,0,90.99352465172836
20,20210916,0,91.11
20,20210916,1,91.11
8,20210913,0,91.2
1,20210906,0,91.23238847755904
87,20210913,0,91.32775262335907
1,20210907,0,91.4072713977866
87,20210917,0,91.47746448459988
59,20210907,0,91.73
63,20210916,0,91.93723071920056
20,20210914,1,91.96
20,20210914,0,91.96
8,20210917,1,92.03
20,20210906,0,92.29
20,20210906,1,92.29
29,20210915,1,92.38322162570236
87,20210908,1,92.39855127722014
1,20210916,0,92.41751841124668
63,20210914,0,92.46215666476822
87,20210916,0,92.51349507365524
1,20210914,0,92.62054868080716
8,20210907,0,92.68
87,20210907,0,92.8232394577077
87,20210910,0,92.87754994800645
1,20210909,0,93.08990321590548
87,20210915,0,93.17340006606337
8,20210914,0,93.18
63,20210908,1,93.38638334314618
87,20210915,1,93.4137779939586
1,20210909,1,93.70356656590442
63,20210913,0,93.7900394593098
87,20210909,0,93.8009351518429
63,20210915,0,93.92141677033496
63,20210917,0,94.00672255348049
63,20210908,0,94.1911861840865
63,20210910,0,94.5472628124134
63,20210909,0,95.12556615979118
63,20210907,0,96.28620315572724
