route_id,direction_id,stop_sequence,stop_id
5,0,17,0702
5,0,18,0703
5,0,19,0704
5,0,20,0705
5,0,21,0706
5,0,22,6253
5,0,23,6422F
5,0,24,5221F
5,0,25,9959F
5,1,0,9986F
5,1,1,5219F
5,1,2,6424F
5,1,3,6209
5,1,4,0722
5,1,5,0723
5,1,6,0724
5,1,7,0725
5,1,8,0726
5,1,9,0626
5,1,10,0616
5,1,11,0606
5,1,12,0506
5,1,13,0516
5,1,14,0526
5,1,15,6177
5,1,16,6179
5,1,17,2537F
5,1,18,2200F
5,1,19,2337F
5,1,20,5770F
5,1,21,5771
5,1,22,5772
5,1,23,5773
5,1,24,5806
5,1,25,5776
6,0,0,6421F
6,0,1,5221F
6,0,2,9963F
6,0,3,5222F
6,0,4,5253
6,0,5,5254
6,0,6,5255F
6,0,7,5256F
6,0,8,1048F
6,0,9,5258
6,0,10,3480
6,0,11,5264F
6,0,12,5261
6,0,13,5265F
6,0,14,5267
6,0,15,5352
6,0,16,0906
6,0,17,0806
6,0,18,0816
6,0,19,0826
6,0,20,2243F
6,0,21,5354H
6,0,22,5355
6,0,23,5356
6,0,24,5357
6,0,25,5350G
6,0,26,5359
6,0,27,6456F
6,0,28,5759F
6,0,29,5770F
6,0,30,5771
6,0,31,5772
6,0,32,5773
6,0,33,5806
6,0,34,2635F
6,0,35,9051F
6,1,0,9056F
6,1,1,2636F
6,1,2,5700G
6,1,3,5704F
6,1,4,5705
6,1,5,5706
6,1,6,5707
6,1,7,5758F
6,1,8,6457F
6,1,9,5303
6,1,10,5317G
6,1,11,5305G
6,1,12,5306G
6,1,13,5307G
6,1,14,5308F
6,1,15,2246F
6,1,16,0821
6,1,17,0811
6,1,18,0801
6,1,19,0901
6,1,20,5312
6,1,21,5311
6,1,22,5266F
6,1,23,5205
6,1,24,5200F
6,1,25,3481
6,1,26,5208
6,1,27,1049F
6,1,28,5210
6,1,29,5211
6,1,30,5212
6,1,31,5213
6,1,32,5220F
6,1,33,9969F
6,1,34,5219F
6,1,35,6421F
7,0,0,5315
7,0,1,6461F
7,0,2,5710F
7,0,3,5711F
7,0,4,2876F
7,0,5,6189F
7,0,6,6012G
7,0,7,6412F
7,0,8,6014
7,0,9,6437F
7,0,10,6308F
7,0,11,6309F
7,0,12,6310F
7,0,13,6311
7,0,14,6312
7,0,15,6313
7,0,16,6314
7,0,17,5016F
7,0,18,5018F
7,0,19,6428F
7,0,20,5020
7,0,21,5021
7,0,22,5022
7,0,23,6423F
7,0,24,5024
7,0,25,5025
7,0,26,5026
7,0,27,2764G
7,0,28,2765
7,0,29,5027
7,0,30,5028
7,0,31,5029
7,0,32,6931H
7,0,33,5031F
7,0,34,5032G
7,0,35,6934F
7,1,0,6934F
7,1,1,5053G
7,1,2,5054F
7,1,3,6956H
7,1,4,5056
7,1,5,5057
7,1,6,2708G
7,1,7,2709F
7,1,8,2710G
7,1,9,5058F
7,1,10,5059
7,1,11,5060
7,1,12,6420G
7,1,13,5062
7,1,14,5063
7,1,15,5064
7,1,16,6430F
7,1,17,5066F
7,1,18,5068F
7,1,19,6361
7,1,20,6352
7,1,21,6353F
7,1,22,6354
7,1,23,6355F
7,1,24,6356F
7,1,25,6357F
7,1,26,6434F
7,1,27,6359F
7,1,28,6413F
7,1,29,6066G
7,1,30,1645F
7,1,31,2786F
7,1,32,5765F
7,1,33,5766
7,1,34,6459F
7,1,35,5320
8,0,0,6314
8,0,1,5016F
8,0,2,5018F
8,0,3,6428F
8,0,4,6162
8,0,5,6078
8,0,6,2336G
8,0,7,2334F
8,0,8,2404F
8,0,9,5115F
8,0,10,5116
8,0,11,5123
8,0,12,5120
8,0,13,5119
8,0,14,2603
8,0,15,2604F
