Line,Stop,Date,Real_date,Score
7,5707,20210901 - 20210917,20210916,84.78
7,5707,20210901 - 20210917,20210917,92.19
7,5758F,20210901 - 20210917,20210906,73.1
7,5758F,20210901 - 20210917,20210907,93.95
7,5758F,20210901 - 20210917,20210908,90.81
7,5758F,20210901 - 20210917,20210909,83.63
7,5758F,20210901 - 20210917,20210910,84.3
7,5758F,20210901 - 20210917,20210911,96.76
7,5758F,20210901 - 20210917,20210912,84.81
7,5758F,20210901 - 20210917,20210913,85.97
7,5758F,20210901 - 20210917,20210914,93.02
7,5758F,20210901 - 20210917,20210915,80.53
7,5758F,20210901 - 20210917,20210916,89.12
7,5758F,20210901 - 20210917,20210917,87.3
7,6457F,20210901 - 20210917,20210906,72.64
7,6457F,20210901 - 20210917,20210907,89.93
7,6457F,20210901 - 20210917,20210908,84.23
7,6457F,20210901 - 20210917,20210909,88.13
7,6457F,20210901 - 20210917,20210910,81.7
7,6457F,20210901 - 20210917,20210911,93.41
7,6457F,20210901 - 20210917,20210912,87.97
7,6457F,20210901 - 20210917,20210913,83.8
7,6457F,20210901 - 20210917,20210914,88.15
7,6457F,20210901 - 20210917,20210915,85.05
7,6457F,20210901 - 20210917,20210916,84.32
7,6457F,20210901 - 20210917,20210917,84.31
7,0806,20210901 - 20210917,20210906,68.09
7,0806,20210901 - 20210917,20210907,83.38
7,0806,20210901 - 20210917,20210908,82.94
7,0806,20210901 - 20210917,20210909,87.84
7,0806,20210901 - 20210917,20210910,91.72
7,0806,20210901 - 20210917,20210911,88.85
7,0806,20210901 - 20210917,20210912,94.18
7,0806,20210901 - 20210917,20210913,88.3
7,0806,20210901 - 20210917,20210914,83.09
7,0806,20210901 - 20210917,20210915,95.44
7,0806,20210901 - 20210917,20210916,92.02
7,0806,20210901 - 20210917,20210917,88.76
7,0816,20210901 - 20210917,20210906,69.31
7,0816,20210901 - 20210917,20210907,85.9
7,0816,20210901 - 20210917,20210908,92.82
7,0816,20210901 - 20210917,20210909,86.69
7,0816,20210901 - 20210917,20210910,92.59
7,0816,20210901 - 20210917,20210911,88.13
7,0816,20210901 - 20210917,20210912,85.22
7,0816,20210901 - 20210917,20210913,85.16
7,0816,20210901 - 20210917,20210914,87.61
7,0816,20210901 - 20210917,20210915,93.0
7,0816,20210901 - 20210917,20210916,91.24
7,0816,20210901 - 20210917,20210917,91.64
7,0826,20210901 - 20210917,20210906,68.72
7,0826,20210901 - 20210917,20210907,90.4
7,0826,20210901 - 20210917,20210908,87.24
7,0826,20210901 - 20210917,20210909,93.34
7,0826,20210901 - 20210917,20210910,91.92
7,0826,20210901 - 20210917,20210911,88.14
7,0826,20210901 - 20210917,20210912,91.67
7,0826,20210901 - 20210917,20210913,89.1
7,0826,20210901 - 20210917,20210914,88.83
7,0826,20210901 - 20210917,20210915,88.1
7,0826,20210901 - 20210917,20210916,80.26
7,0826,20210901 - 20210917,20210917,88.38
7,0906,20210901 - 20210917,20210906,68.93
7,0906,20210901 - 20210917,20210907,91.32
7,0906,20210901 - 20210917,20210908,92.37
7,0906,20210901 - 20210917,20210909,91.27
7,0906,20210901 - 20210917,20210910,89.5
7,0906,20210901 - 20210917,20210911,81.2
7,0906,20210901 - 20210917,20210912,89.29
7,0906,20210901 - 20210917,20210913,90.67
7,0906,20210901 - 20210917,20210914,83.86
7,0906,20210901 - 20210917,20210915,95.6
7,0906,20210901 - 20210917,20210916,91.43
7,0906,20210901 - 20210917,20210917,90.97
7,2243F,20210901 - 20210917,20210906,66.96
7,2243F,20210901 - 20210917,20210907,86.55
7,2243F,20210901 - 20210917,20210908,85.57
7,2243F,20210901 - 20210917,20210909,93.02
7,2243F,20210901 - 20210917,20210910,92.07
7,2243F,20210901 - 20210917,20210911,90.93
7,2243F,20210901 - 20210917,20210912,91.47
7,2243F,20210901 - 20210917,20210913,87.75
7,2243F,20210901 - 20210917,20210914,90.4
7,2243F,20210901 - 20210917,20210915,90.73
7,2243F,20210901 - 20210917,20210916,86.87
7,2243F,20210901 - 20210917,20210917,84.58
7,5354H,20210901 - 20210917,20210906,68.28
7,5354H,20210901 - 20210917,20210907,80.2
7,5354H,20210901 - 20210917,20210908,87.95
7,5354H,20210901 - 20210917,20210909,90.01
7,5354H,20210901 - 20210917,20210910,91.8
7,5354H,20210901 - 20210917,20210911,83.21
7,5354H,20210901 - 20210917,20210912,91.54
7,5354H,20210901 - 20210917,20210913,82.82
7,5354H,20210901 - 20210917,20210914,91.75
