Line,Stop,Date,Score
1,8052,20210913,57.06
1,8052,20210914,55.26
1,8052,20210915,52.71
1,8052,20210916,53.47
1,8052,20210917,49.23
1,8052,20210918,94.55
1,8052,20210919,91.2
1,8052,20210920,42.63
1,8052,20210921,50.22
1,8052,20210906,74.41
1,8052,20210907,87.08
1,8052,20210908,81.27
1,8052,20210909,68.56
1,8052,20210910,82.79
1,8052,20210911,93.08
1,8052,20210912,80.37
1,8052,20210913,84.24
1,8052,20210914,85.26
1,8052,20210915,84.19
1,8052,20210916,80.73
1,8052,20210917,75.78
1,8052,20210918,93.77
1,8052,20210919,90.71
1,8052,20210920,39.01
1,8052,20210921,46.39
1,8062,20210906,69.11
1,8062,20210907,69.42
1,8062,20210908,51.66
1,8062,20210909,64.18
1,8062,20210910,61.49
1,8062,20210911,94.45
1,8062,20210912,95.15
1,8062,20210913,56.86
1,8062,20210914,49.78
1,8062,20210915,54.93
1,8062,20210916,56.36
1,8062,20210917,52.3
1,8062,20210918,93.65
1,8062,20210919,95.02
1,8062,20210920,52.66
1,8062,20210921,50.5
1,8062,20210906,73.8
1,8062,20210907,87.81
1,8062,20210908,80.77
1,8062,20210909,65.29
1,8062,20210910,82.73
1,8062,20210911,93.49
1,8062,20210912,81.22
1,8062,20210913,85.81
1,8062,20210914,85.05
1,8062,20210915,83.42
1,8062,20210916,84.38
1,8062,20210917,71.04
1,8062,20210918,93.0
1,8062,20210919,92.23
1,8062,20210920,42.28
1,8062,20210921,46.98
1,8072,20210906,66.01
1,8072,20210907,69.11
1,8072,20210908,49.64
1,8072,20210909,59.74
1,8072,20210910,59.59
1,8072,20210911,93.19
1,8072,20210912,95.56
1,8072,20210913,67.2
1,8072,20210914,55.82
1,8072,20210915,55.13
1,8072,20210916,55.13
1,8072,20210917,42.83
1,8072,20210918,94.06
1,8072,20210919,96.32
1,8072,20210920,45.6
1,8072,20210921,46.12
1,8072,20210906,75.73
1,8072,20210907,87.68
1,8072,20210908,79.01
1,8072,20210909,70.6
1,8072,20210910,79.43
1,8072,20210911,93.73
1,8072,20210912,84.37
1,8072,20210913,89.74
1,8072,20210914,87.19
1,8072,20210915,83.55
1,8072,20210916,84.55
1,8072,20210917,67.69
1,8072,20210918,93.66
1,8072,20210919,90.81
1,8072,20210920,36.56
1,8072,20210921,49.21
1,8272,20210906,67.8
1,8272,20210907,65.93
1,8272,20210908,50.07
1,8272,20210909,65.63
1,8272,20210910,62.14
1,8272,20210911,95.19
1,8272,20210912,97.64
1,8272,20210913,56.52
1,8272,20210914,51.68
1,8272,20210915,47.2
1,8272,20210916,54.38
1,8272,20210917,50.46
1,8272,20210918,94.46
1,8272,20210919,97.59
1,8272,20210920,56.32
1,8272,20210921,53.09
1,8272,20210906,76.44
1,8272,20210907,84.7
1,8272,20210908,79.56
1,8272,20210909,59.09
1,8272,20210910,80.61
1,8272,20210911,94.2
1,8272,20210912,83.84
1,8272,20210913,81.1
1,8272,20210914,75.4
1,8272,20210915,75.43
1,8272,20210916,82.55
1,8272,20210917,71.84
1,8272,20210918,93.02
1,8272,20210919,91.87
1,8272,20210920,36.84
1,8272,20210921,45.6
1,8282,20210906,67.94
1,8282,20210907,68.31
1,8282,20210908,49.82
1,8282,20210909,67.26
1,8282,20210910,60.45
1,8282,20210911,92.27
1,8282,20210912,97.67
1,8282,20210913,62.07
1,8282,20210914,55.35
1,8282,20210915,50.23
1,8282,20210916,56.31
1,8282,20210917,48.09
1,8282,20210918,93.22
1,8282,20210919,97.5
1,8282,20210920,53.53
1,8282,20210921,55.35
1,8282,20210906,76.59
1,8282,20210907,84.65
1,8282,20210908,81.69
1,8282,20210909,62.99
1,8282,20210910,76.19
1,8282,20210911,93.95
1,8282,20210912,83.67
1,8282,20210913,83.19
1,8282,20210914,82.06
1,8282,20210915,76.49
1,8282,20210916,82.0
1,8282,20210917,71.02
1,8282,20210918,93.02
1,8282,20210919,93.68
1,8282,20210920,41.63
1,8282,20210921,43.62
1,8292,20210906,67.47
1,8292,20210907,71.0
1,8292,20210908,46.08
1,8292,20210909,65.11
1,8292,20210910,58.81
1,8292,20210911,92.54
1,8292,20210912,96.83
1,8292,20210913,57.88
1,8292,20210914,54.04
1,8292,20210915,46.65
1,8292,20210916,55.44
1,8292,20210917,49.4
1,8292,20210918,93.85
1,8292,20210919,96.18
1,8292,20210920,52.07
1,8292,20210921,52.11
1,8292,20210906,77.53
1,8292,20210907,87.88
1,8292,20210908,77.91
1,8292,20210909,58.96
1,8292,20210910,77.65
1,8292,20210911,93.78
1,8292,20210912,83.09
1,8292,20210913,79.68
1,8292,20210914,80.43
1,8292,20210915,76.06
1,8292,20210916,80.61
1,8292,20210917,68.32
1,8292,20210918,93.01
1,8292,20210919,93.9
1,8292,20210920,44.55
1,8292,20210921,39.41
1,8733,20210906,68.62
1,8733,20210907,66.69
1,8733,20210908,47.11
1,8733,20210909,62.67
1,8733,20210910,58.55
1,8733,20210911,90.56
1,8733,20210912,88.39
1,8733,20210913,55.16
1,8733,20210914,53.87
1,8733,20210915,47.68
1,8733,20210916,60.29
1,8733,20210917,51.33
1,8733,20210918,88.48
1,8733,20210919,79.76
1,8733,20210920,53.51
1,8733,20210921,53.77
1,8733,20210906,78.77
1,8733,20210907,84.43
1,8733,20210908,81.56
