Line,Stop,Date,Real_date,Score
1,8151,20210901 - 20210917,20210908,91.99
1,8151,20210901 - 20210917,20210909,94.83
1,8151,20210901 - 20210917,20210910,90.7
1,8151,20210901 - 20210917,20210911,86.21
1,8151,20210901 - 20210917,20210912,90.35
1,8151,20210901 - 20210917,20210913,87.64
1,8151,20210901 - 20210917,20210914,91.22
1,8151,20210901 - 20210917,20210915,84.51
1,8151,20210901 - 20210917,20210916,91.95
1,8151,20210901 - 20210917,20210917,89.2
1,8161,20210901 - 20210917,20210906,98.64
1,8161,20210901 - 20210917,20210907,90.65
1,8161,20210901 - 20210917,20210908,84.81
1,8161,20210901 - 20210917,20210909,74.63
1,8161,20210901 - 20210917,20210910,94.99
1,8161,20210901 - 20210917,20210911,90.65
1,8161,20210901 - 20210917,20210912,82.36
1,8161,20210901 - 20210917,20210913,0.0
1,8161,20210901 - 20210917,20210914,80.07
1,8161,20210901 - 20210917,20210915,74.14
1,8161,20210901 - 20210917,20210916,90.45
1,8161,20210901 - 20210917,20210917,82.19
1,8271,20210901 - 20210917,20210906,90.05
1,8271,20210901 - 20210917,20210907,88.59
1,8271,20210901 - 20210917,20210908,91.22
1,8271,20210901 - 20210917,20210909,96.06
1,8271,20210901 - 20210917,20210910,92.1
1,8271,20210901 - 20210917,20210911,90.94
1,8271,20210901 - 20210917,20210912,87.16
1,8271,20210901 - 20210917,20210913,84.9
1,8271,20210901 - 20210917,20210914,83.95
1,8271,20210901 - 20210917,20210915,81.43
1,8271,20210901 - 20210917,20210916,87.99
1,8271,20210901 - 20210917,20210917,91.8
1,8281,20210901 - 20210917,20210906,88.19
1,8281,20210901 - 20210917,20210907,88.12
1,8281,20210901 - 20210917,20210908,91.83
1,8281,20210901 - 20210917,20210909,94.94
1,8281,20210901 - 20210917,20210910,81.19
1,8281,20210901 - 20210917,20210911,93.1
1,8281,20210901 - 20210917,20210912,79.4
1,8281,20210901 - 20210917,20210913,80.76
1,8281,20210901 - 20210917,20210914,81.94
1,8281,20210901 - 20210917,20210915,76.66
1,8281,20210901 - 20210917,20210916,82.97
1,8281,20210901 - 20210917,20210917,81.3
1,8291,20210901 - 20210917,20210906,89.79
1,8291,20210901 - 20210917,20210907,91.57
1,8291,20210901 - 20210917,20210908,94.02
1,8291,20210901 - 20210917,20210909,93.45
1,8291,20210901 - 20210917,20210910,93.61
1,8291,20210901 - 20210917,20210911,92.52
1,8291,20210901 - 20210917,20210912,82.43
1,8291,20210901 - 20210917,20210913,85.75
1,8291,20210901 - 20210917,20210914,86.37
1,8291,20210901 - 20210917,20210915,80.13
1,8291,20210901 - 20210917,20210916,86.63
1,8291,20210901 - 20210917,20210917,91.14
1,8731,20210901 - 20210917,20210906,94.05
1,8731,20210901 - 20210917,20210907,92.09
1,8731,20210901 - 20210917,20210908,91.03
1,8731,20210901 - 20210917,20210909,93.61
1,8731,20210901 - 20210917,20210910,93.18
1,8731,20210901 - 20210917,20210911,86.78
1,8731,20210901 - 20210917,20210912,79.83
1,8731,20210901 - 20210917,20210913,88.72
1,8731,20210901 - 20210917,20210914,91.79
1,8731,20210901 - 20210917,20210915,92.29
1,8731,20210901 - 20210917,20210916,92.21
1,8731,20210901 - 20210917,20210917,93.02
1,8741,20210901 - 20210917,20210906,89.23
1,8741,20210901 - 20210917,20210907,86.05
1,8741,20210901 - 20210917,20210908,90.4
1,8741,20210901 - 20210917,20210909,92.51
1,8741,20210901 - 20210917,20210910,80.51
1,8741,20210901 - 20210917,20210911,91.14
1,8741,20210901 - 20210917,20210912,74.56
1,8741,20210901 - 20210917,20210913,76.1
1,8741,20210901 - 20210917,20210914,85.47
1,8741,20210901 - 20210917,20210915,76.19
1,8741,20210901 - 20210917,20210916,82.69
1,8741,20210901 - 20210917,20210917,86.31
1,8162,20210901 - 20210917,20210906,31.13
1,8162,20210901 - 20210917,20210907,72.89
1,8162,20210901 - 20210917,20210908,53.23
1,8162,20210901 - 20210917,20210909,51.86
1,8162,20210901 - 20210917,20210910,34.81
1,8162,20210901 - 20210917,20210911,55.42
1,8162,20210901 - 20210917,20210912,34.42
1,8162,20210901 - 20210917,20210913,52.07
1,8162,20210901 - 20210917,20210914,41.99
1,8162,20210901 - 20210917,20210915,30.91
1,8162,20210901 - 20210917,20210916,68.27
1,8162,20210901 - 20210917,20210917,40.66
1,8012,20210901 - 20210917,20210906,93.14
1,8012,20210901 - 20210917,20210907,90.08
1,8012,20210901 - 20210917,20210908,90.45
1,8012,20210901 - 20210917,20210909,94.47
1,8012,20210901 - 20210917,20210910,91.2
1,8012,20210901 - 20210917,20210911,91.59
1,8012,20210901 - 20210917,20210912,88.09
1,8012,20210901 - 20210917,20210913,88.82
1,8012,20210901 - 20210917,20210914,90.9
1,8012,20210901 - 20210917,20210915,88.29
1,8012,20210901 - 20210917,20210916,92.41
1,8012,20210901 - 20210917,20210917,86.23
1,8022,20210901 - 20210917,20210906,91.26
1,8022,20210901 - 20210917,20210907,90.9
1,8022,20210901 - 20210917,20210908,88.31
1,8022,20210901 - 20210917,20210909,93.57
1,8022,20210901 - 20210917,20210910,88.99
1,8022,20210901 - 20210917,20210911,90.11
1,8022,20210901 - 20210917,20210912,91.44
1,8022,20210901 - 20210917,20210913,87.39
1,8022,20210901 - 20210917,20210914,93.39
1,8022,20210901 - 20210917,20210915,87.75
1,8022,20210901 - 20210917,20210916,91.5
1,8022,20210901 - 20210917,20210917,86.49
1,8032,20210901 - 20210917,20210906,90.5
1,8032,20210901 - 20210917,20210907,92.96
1,8032,20210901 - 20210917,20210908,88.42
1,8032,20210901 - 20210917,20210909,95.89
1,8032,20210901 - 20210917,20210910,88.84
1,8032,20210901 - 20210917,20210911,91.75
1,8032,20210901 - 20210917,20210912,91.83
1,8032,20210901 - 20210917,20210913,88.33
1,8032,20210901 - 20210917,20210914,91.46
1,8032,20210901 - 20210917,20210915,88.65
1,8032,20210901 - 20210917,20210916,91.1
1,8032,20210901 - 20210917,20210917,87.17
1,8042,20210901 - 20210917,20210906,88.71
1,8042,20210901 - 20210917,20210907,91.75
1,8042,20210901 - 20210917,20210908,90.37
1,8042,20210901 - 20210917,20210909,93.67
1,8042,20210901 - 20210917,20210910,89.03
1,8042,20210901 - 20210917,20210911,89.83
1,8042,20210901 - 20210917,20210912,89.12
1,8042,20210901 - 20210917,20210913,86.96
1,8042,20210901 - 20210917,20210914,94.18
1,8042,20210901 - 20210917,20210915,89.92
1,8042,20210901 - 20210917,20210916,92.06
1,8042,20210901 - 20210917,20210917,85.21
1,8052,20210901 - 20210917,20210906,90.03
1,8052,20210901 - 20210917,20210907,92.54
1,8052,20210901 - 20210917,20210908,89.16
1,8052,20210901 - 20210917,20210909,91.52
1,8052,20210901 - 20210917,20210910,90.86
1,8052,20210901 - 20210917,20210911,93.15
1,8052,20210901 - 20210917,20210912,86.43
1,8052,20210901 - 20210917,20210913,92.01
1,8052,20210901 - 20210917,20210914,95.03
1,8052,20210901 - 20210917,20210915,89.39
